,city,name,description
20,St. Louis,St. Louis,"St. Louis ( or ) is the second-largest city in Missouri, and sits on the western bank of the Mississippi River, which forms the state line between Illinois and Missouri. The Missouri River merges with the Mississippi River 15 river miles north of Downtown St. Louis, forming the fourth-longest river system in the world. In 2019, the estimated population of St. Louis City was 300,576, and of the bi-state metropolitan area, 2,804,724. Greater St. Louis is the largest metropolitan area in Missouri, second-largest in Illinois, seventh-largest in the Great Lakes Megalopolis, and the 22nd-largest in the United States.
Before European settlement, the area was a regional center of Native American Mississippian culture. The city of St. Louis was founded in February 14th of 1764 by French fur traders Gilbert Antoine de St. Maxent, Pierre Laclède and Auguste Chouteau, and named after Louis IX of France. In 1764, following France's defeat in the Seven Years' War, the area was ceded to Spain. In 1800, it was retroceded to France, which sold it three years later to the United States as part of the Louisiana Purchase. In the 19th century, St. Louis became a major port on the Mississippi River; from 1870 until the 1920 Census, it was the fourth-largest city in the country. It separated from St. Louis County in 1877, becoming an independent city and limiting its own political boundaries. St. Louis had a brief run as a world-class city in the early 20th century. In 1904, it hosted the Louisiana Purchase Exposition and the Summer Olympics.
A ""Gamma"" global city with a metropolitan GDP of more than $160 billion in 2017, metropolitan St. Louis has a diverse economy with strengths in the service, manufacturing, trade, transportation, and tourism industries. It is home to nine of the ten Fortune 500 companies based in Missouri. Major companies headquartered or with significant operations in the city include Ameren Corporation, Peabody Energy, Nestlé Purina PetCare, Anheuser-Busch, Wells Fargo Advisors, Stifel Financial, Spire, Inc., MilliporeSigma, FleishmanHillard, Square, Inc., U.S. Bank, Anthem BlueCross and Blue Shield, Federal Reserve Bank of St. Louis, U.S. Department of Agriculture, National Geospatial-Intelligence Agency, Centene Corporation, and Express Scripts.
Major research universities include St. Louis University and Washington University in St. Louis School of Medicine The Washington University Medical Center in the Central West End neighborhood hosts an agglomeration of medical and pharmaceutical institutions, including Barnes-Jewish Hospital.
St. Louis has three professional sports teams: the St. Louis Cardinals of Major League Baseball, the St. Louis Blues of the National Hockey League, and the St. Louis BattleHawks of the newly formed XFL. In 2019, the city was awarded a Major League Soccer franchise, which will begin play upon the completion of a 22,500-seat stadium in the city's Downtown West neighborhood in 2023. Among the city's notable sights is the 630-foot (192 m) Gateway Arch in the downtown area. St. Louis is also home to the St. Louis Zoo, and the Missouri Botanical Garden, with the second-largest herbarium in North America."
21,Las Vegas,Las Vegas,"Las Vegas  (Spanish for ""The Meadows""), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populous city in the United States, the most populous city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert. Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.
The city bills itself as The Entertainment Capital of the World, and is famous for its mega casino-hotels and associated activities. It is a top three destination in the United States for business conventions and a global leader in the hospitality industry, claiming more AAA Five Diamond hotels than any other city in the world. Today, Las Vegas annually ranks as one of the world's most visited tourist destinations. The city's tolerance for numerous forms of adult entertainment earned it the title of ""Sin City"", and has made Las Vegas a popular setting for literature, films, television programs, and music videos.
Las Vegas was settled in 1905 and officially incorporated in 1911. At the close of the 20th century, it was the most populated American city founded within that century (a similar distinction was earned by Chicago in the 19th century). Population growth has accelerated since the 1960s, and between 1990 and 2000 the population nearly doubled, increasing by 85.2%. Rapid growth has continued into the 21st century, and according to estimates from the U.S. Census Bureau, the city had 651,319 residents in 2019, with a metropolitan population of 2,227,053.As with most major metropolitan areas, the name of the primary city (""Las Vegas"" in this case) is often used to describe areas beyond official city limits. In the case of Las Vegas, this especially applies to the areas on and near the Las Vegas Strip, which is actually located within the unincorporated communities of Paradise and Winchester.

"
22,Portland,Portland,"Poland (Polish: Polska [ˈpɔlska] (listen)), officially the Republic of Poland (Polish: Rzeczpospolita Polska [ʐɛt͡ʂpɔˈspɔlita ˈpɔlska] (listen)), is a country located in Central Europe. It is divided into 16 administrative provinces, covering an area of 312,696 square kilometres (120,733 sq mi), and has a largely temperate seasonal climate. With a population of nearly 38.5 million people, Poland is the fifth most populous member state of the European Union. Poland's capital and largest metropolis is Warsaw. Other major cities include Kraków, Łódź, Wrocław, Poznań, Gdańsk, and Szczecin.
Poland's topographically diverse territory extends from the beaches along the Baltic Sea in the north to the Sudetes and Carpathian Mountains in its south. The country is bordered by Lithuania and Russia's Kaliningrad Oblast to the northeast, Belarus and Ukraine to the east, Slovakia and the Czech Republic to the south, and Germany to the west.The history of human activity on Polish soil spans thousands of years. Throughout the late antiquity period it became extensively diverse, with various cultures and tribes settling on the vast Central European Plain. However, it was the Western Polans who dominated the region and gave Poland its name. The establishment of Polish statehood can be traced to 966, when the pagan ruler of a realm coextensive with the territory of present-day Poland embraced Christianity and converted to Catholicism. The Kingdom of Poland was founded in 1025, and in 1569 it cemented its longstanding political association with Lithuania by signing the Union of Lublin. This union formed the Polish–Lithuanian Commonwealth, one of the largest (over 1,000,000 square kilometres – 400,000 square miles) and most populous nations of 16th and 17th century Europe, with a uniquely liberal political system which adopted Europe's first modern constitution, the Constitution of 3 May 1791.With the passing of prominence and prosperity, the country was partitioned by neighbouring states at the end of the 18th century, and regained independence in 1918 with the Treaty of Versailles. After a series of territorial conflicts, the new multi-ethnic Poland restored its position as a key player in European politics. In September 1939, World War II began with the invasion of Poland by Germany, followed by the Soviets invading Poland in accordance with the Molotov–Ribbentrop Pact. Approximately six million Polish citizens, including three million of the country's Jews, perished during the course of the war. As a member of the Eastern Bloc, the Polish People's Republic proclaimed forthwith was a chief signatory of the Warsaw Treaty amidst global Cold War tensions. In the wake of the 1989 events, notably through the emergence and contributions of the Solidarity movement, the communist government was dissolved and Poland re-established itself as a semi-presidential democratic republic.
Poland has a developed market and is a regional power in Central Europe, with the largest stock exchange in the East-Central European zone. It has the sixth largest economy in the European Union by nominal GDP and the fifth largest by GDP (PPP). It's one of the most dynamic economies in the world, simultaneously achieving a very high rank on the Human Development Index. Poland is a developed country, which maintains a high-income economy along with very high standards of living, life quality, safety, education, and economic freedom. Alongside a developed educational system, the state also provides free university education, social security, and a universal health care system. The country has 16 UNESCO World Heritage Sites, 15 of which are cultural. Poland is a member state of the Schengen Area, the United Nations, NATO, the OECD, the Three Seas Initiative and the Visegrád Group."
23,San Antonio,San Antonio,"San Antonio (; in Spanish, ""Saint Anthony""), officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with 1,547,253 residents in 2019. Founded as a Spanish mission and colonial outpost in 1718, the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire, and later of the Mexican Republic. It is the state's oldest municipality, having celebrated its 300th anniversary on May 1, 2018.The city's deep history is contrasted with its rapid growth over the past few decades. It was the fastest-growing of the top ten largest cities in the United States from 2000 to 2010, and the second from 1990 to 2000.  Straddling the regional divide between South and Central Texas, San Antonio anchors the southwestern corner of an urban megaregion colloquially known as the ""Texas Triangle"". The Greater San Antonio and Greater Austin areas are separated from each other by 80 miles along Interstate 35.
San Antonio serves as the seat of Bexar County; San Antonio is the center of the San Antonio–New Braunfels metropolitan statistical area. Commonly called Greater San Antonio, the metro area has a population of 2,550,960 based on the 2019 U.S. census estimate, making it the 24th-largest metropolitan area in the United States and third-largest in Texas.San Antonio was named by a 1691 Spanish expedition for the Portuguese priest Saint Anthony of Padua, whose feast day is June 13. The city contains five 18th-century Spanish frontier missions, including The Alamo and San Antonio Missions National Historical Park, which together were designated UNESCO World Heritage sites in 2015. Other notable attractions include the River Walk, the Tower of the Americas, SeaWorld, the Alamo Bowl, and Marriage Island. Commercial entertainment includes Six Flags Fiesta Texas and Morgan's Wonderland amusement parks. According to the San Antonio Convention and Visitors Bureau, the city is visited by about 32 million tourists a year. It is home to the five-time NBA champion San Antonio Spurs, and hosts the annual San Antonio Stock Show & Rodeo, one of the largest such events in the U.S.
The U.S. Armed Forces have numerous facilities in and around San Antonio; Fort Sam Houston is the only one within the city limits. Lackland Air Force Base, Randolph Air Force Base, Lackland AFB/Kelly Field Annex, Camp Bullis, and Camp Stanley are outside the city limits. Kelly Air Force Base operated out of San Antonio until 2001, when the airfield was transferred to Lackland AFB. The remaining parts of the base were developed as Port San Antonio, an industrial/business park and aerospace complex. San Antonio is home to six Fortune 500 companies and the South Texas Medical Center, the only medical research and care provider in the South Texas region."
24,Sacramento,Sacramento,"Sacramento ( SAK-rə-MEN-toh; Spanish: [sakɾaˈmento], Spanish for ''sacrament'') is the capital city of the U.S. state of California and the seat and largest city of Sacramento County. Located at the confluence of the Sacramento River and the American River in Northern California's Sacramento Valley, Sacramento's estimated 2019 population of 513,625 makes it the sixth-largest city in California and the ninth-largest capital in the United States. Sacramento is the seat of the California Legislature and the Governor of California, making it the state's political center and a hub for lobbying and think tanks. Sacramento is also the cultural and economic core of the Sacramento metropolitan area, which at the 2010 census had a population of 2,414,783, making it the fifth-largest in California.Before the arrival of the Spanish, the area was inhabited by the Nisenan, Maidu and other indigenous peoples of California. Spanish cavalryman Gabriel Moraga surveyed and named the Rio del Santísimo Sacramento (Sacramento River) in 1808, after the Blessed Sacrament, referring to the Eucharist in the Catholic Church. In 1839, Juan Bautista Alvarado, Mexican governor of Alta California, granted the responsibility of colonizing the Sacramento Valley to Swiss-born Mexican citizen John Augustus Sutter, who subsequently established Sutter's Fort and the settlement at the Rancho Nueva Helvetia. Following the American Conquest of California and the 1848 Treaty of Guadalupe-Hidalgo, the waterfront developed by Sutter began to be developed, and incorporated in 1850 as the City of Sacramento. As a result of.
Sacramento is the fastest-growing major city in California, owing to its status as a notable financial center on the West Coast and as a major educational hub, home of California State University, Sacramento and University of California, Davis. Similarly, Sacramento is a major center for the California healthcare industry, as the seat of Sutter Health, the world-renowned UC Davis Medical Center, and the UC Davis School of Medicine, and notable tourist destination in California, as the site of the California Museum, the Crocker Art Museum, the California State Railroad Museum, the California Hall of Fame, the California State Capitol Museum, and the Old Sacramento State Historic Park. Sacramento International Airport, located northwest of the city, is the city's major airport. Sacramento is known for its evolving contemporary culture, dubbed the most ""hipster city"" in California. In 2002, the Harvard University Civil Rights Project conducted for Time magazine named Sacramento ""America's Most Diverse City""."
25,San Jose,"San Jose, California","San Jose (; Spanish: [saŋ xoˈse]; Spanish for 'Saint Joseph'), officially San José, is the cultural, financial, and political center of Silicon Valley, and the largest city in Northern California by both population and area.
With an estimated 2019 population of 1,021,795, it is the third-most populous city in California (after Los Angeles and San Diego) and the tenth-most populous in the United States. Located in the center of the Santa Clara Valley, on the southern shore of San Francisco Bay, San Jose covers an area of 179.97 square miles (466.1 km2). San Jose is the county seat of Santa Clara County, the most affluent county in California and one of the most affluent counties in the United States. San Jose is the main component of the San Jose–Sunnyvale–Santa Clara Metropolitan Statistical Area, with an estimated population of around 2 million residents in 2018. It is also the most populous city in both the San Francisco Bay Area and the San Jose-San Francisco-Oakland Combined Statistical Area, which contain 7.7 million and 8.7 million people respectively.San Jose is notable as a center of innovation, for its affluence, Mediterranean climate, and extremely high cost of living. Its location within the booming high tech industry as a cultural, political, and economic center has earned the city the nickname ""Capital of Silicon Valley"". San Jose is one of the wealthiest major cities in the United States and the world, and has the third-highest GDP per capita in the world (after Zürich, Switzerland and Oslo, Norway), according to the Brookings Institution. The San Jose Metropolitan Area has the most millionaires and the most billionaires in the United States per capita. With a median home price of $1,085,000, San Jose has the most expensive housing market in the country and the fifth most expensive housing market in the world, according to the 2017 Demographia International Housing Affordability Survey. Major global tech companies including Cisco Systems, eBay, Adobe Inc., PayPal, Broadcom, Samsung, Acer, Hewlett Packard Enterprise, and Zoom maintain their headquarters in San Jose, in the center of Silicon Valley.
Before the arrival of the Spanish, the area around San Jose was inhabited by the Tamien nation of the Ohlone peoples of California. San Jose was founded on November 29, 1777, as the Pueblo de San José de Guadalupe, the first city founded in the Californias. It then became a part of Mexico in 1821 after the Mexican War of Independence. Following the American Conquest of California during the Mexican–American War, the territory was ceded to the United States in 1848. After California achieved statehood two years later, San Jose became the state's first capital. Following World War II, San Jose experienced an economic boom, with a rapid population growth and aggressive annexation of nearby cities and communities carried out in the 1950s and 1960s. The rapid growth of the high-technology and electronics industries further accelerated the transition from an agricultural center to an urbanized metropolitan area. Results of the 1990 U.S. Census indicated that San Jose had officially surpassed San Francisco as the most populous city in Northern California. By the 1990s, San Jose and the rest of Silicon Valley had become the global center for the high tech and internet industries, making it California's fastest-growing economy."
26,Orlando,Orlando,"Orlando () is a city in the U.S. state of Florida and is the county seat of Orange County. In Central Florida, it is the center of the Orlando metropolitan area, which had a population of 2,509,831, according to U.S. Census Bureau figures released in July 2017, making it the 23rd-largest metropolitan area in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida. As of 2019, Orlando had an estimated city-proper population of 287,442, making it the 71st-largest city in the United States, the fourth-largest city in Florida, and the state's largest inland city.
The City of Orlando is nicknamed ""the City Beautiful"", and its symbol is the Linton E. Allen Memorial Fountain, commonly referred to as simply the ""Lake Eola fountain"" at Lake Eola Park. The Orlando International Airport (MCO) is the 13th-busiest airport in the United States and the 29th-busiest in the world.Orlando is one of the most-visited cities in the world primarily driven by tourism, major events, and convention traffic; in 2018, the city drew more than 75 million visitors. The two largest and most internationally renowned tourist attractions in the Orlando area are the Walt Disney World Resort, opened by the Walt Disney Company in 1971, and located about 21 miles (34 km) southwest of downtown Orlando in Bay Lake; and the Universal Orlando Resort, opened in 1990 as a major expansion of Universal Studios Florida and the only theme park inside Orlando city limits. 
With the exception of the theme parks, most major cultural sites like the Orlando Museum of Art and Dr. Phillips Center for the Performing Arts and world renown nightlife, bars and clubs are located in Downtown Orlando while most attractions are located along International Drive like the Wheel at ICON Park Orlando. The city is also one of the busiest American cities for conferences and conventions; the Orange County Convention Center is the second-largest convention facility in the United States.
Like other major cities in the Sun Belt, Orlando grew rapidly from the 1970s into the first decade of the 21st century. Orlando is home to the University of Central Florida, which is the largest university campus in the United States in terms of enrollment as of 2015. In 2010, Orlando was listed as a ""Gamma +"" level global city by the Globalization and World Cities Research Network."
27,Cleveland,Cleveland,"Cleveland ( KLEEV-lənd), officially the City of Cleveland, is a major city in the U.S. state of Ohio, and the county seat of Cuyahoga County. It is located on the southern shore of Lake Erie, across the U.S. maritime border with Canada and approximately 60 miles (100 kilometers) west of the Ohio-Pennsylvania state border.
Cleveland is the largest city on the shores of Lake Erie and the largest metropolitan economy and population in Ohio. Metropolitan Cleveland, with a population of 2.8 million, comprises two US-defined metropolitan statistical areas (MSA), the Cleveland MSA and the Akron MSA. Its GDP is $171 Billion (2018), making it the 21st largest in the United States. The city proper, with an estimated 2019 population of 381,009, ranks as the 53rd-largest city in the United States, though its economy and population are fluid across individual municipal boundaries.Designated as a ""Gamma -"" global city by the Globalization and World Cities Research Network, Cleveland anchors the Cleveland–Akron–Canton Combined Statistical Area, the most populous combined statistical area in Ohio and the 15th largest in the U.S., with a population of 3,515,646 in 2010.
Cleveland was founded in 1796 near the mouth of the Cuyahoga River by General Moses Cleaveland, after whom the city was named. A port city, it grew into a major manufacturing center due to its location on both the river and the lake shore, as well as numerous canals and railroad lines. Cleveland's economy relies on diversified sectors such as manufacturing, financial services, healthcare, biomedicals, and higher education.The city's major cultural institutions include the Cleveland Museum of Art, the Cleveland Museum of Natural History, the Cleveland Orchestra, Playhouse Square, and the Rock and Roll Hall of Fame. Known as ""The Forest City"" among many other nicknames, Cleveland serves as the center of the Cleveland Metroparks nature reserve system.  The city's major league professional sports teams include the Cleveland Browns, the Cleveland Cavaliers, the Cleveland Indians, and the Cleveland Monsters."
28,Pittsburgh,Pittsburgh,"Pittsburgh ( PITS-burg) is a city in the state of Pennsylvania in the United States, and is the county seat of Allegheny County. A population of about 300,286 (2019) residents live within the city limits, making it the 66th-largest city in the U.S. and the second-most populous city in Pennsylvania behind Philadelphia. The Pittsburgh metropolitan area is the anchor of Western Pennsylvania; its population of 2,324,743 is the largest in both the Ohio Valley and Appalachia, the second-largest in Pennsylvania, and the 27th-largest in the U.S.
Pittsburgh is located in the southwest of the state, at the confluence of the Allegheny River and the Monongahela River, forming the Ohio River. Pittsburgh is known both as ""the Steel City"" for its more than 300 steel-related businesses and as the ""City of Bridges"" for its 446 bridges. The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers. The city developed as a vital link of the Atlantic coast and Midwest, as the mineral-rich Allegheny Mountains made the area coveted by the French and British empires, Virginians, Whiskey Rebels, and Civil War raiders.Aside from steel, Pittsburgh has led in the manufacturing of other important materials — aluminum and glass — and in the petroleum industry. Additionally, it is a leader in computing, electronics, and the automotive industry. For part of the 20th century, Pittsburgh was behind only New York City and Chicago in corporate headquarters employment; it had the most U.S. stockholders per capita. Deindustrialization in the 1970s and 80s laid off area blue-collar workers as steel and other heavy industries declined, and thousands of downtown white-collar workers also lost jobs when several Pittsburgh-based companies moved out. The population dropped from a peak of 675,000 in 1950 to 370,000 in 1990. However, this rich industrial history left the area with renowned museums, medical centers, parks, research centers, and a diverse cultural district.After the deindustrialization of the mid-20th century, Pittsburgh has transformed into a hub for the health care, education, and technology industries. Pittsburgh is a leader in the health care sector as the home to large medical providers such as University of Pittsburgh Medical Center (UPMC). The area is home to 68 colleges and universities, including research and development leaders Carnegie Mellon University and the University of Pittsburgh. Google, Apple Inc., Bosch, Facebook, Uber, Nokia, Autodesk, Amazon, Microsoft and IBM are among 1,600 technology firms generating $20.7 billion in annual Pittsburgh payrolls. The area has served as the long-time federal agency headquarters for cyber defense, software engineering, robotics, energy research and the nuclear navy.  The nation's eighth-largest bank, eight Fortune 500 companies, and six of the top 300 U.S. law firms make their global headquarters in the area, while RAND Corporation (RAND), BNY Mellon, Nova, FedEx, Bayer, and the National Institute for Occupational Safety and Health (NIOSH) have regional bases that helped Pittsburgh become the sixth-best area for U.S. job growth.In 2015, Pittsburgh was listed among the ""eleven most livable cities in the world""; The Economist's Global Liveability Ranking placed Pittsburgh as the most or second-most livable city in the United States in 2005, 2009, 2011, 2012 and 2014. The region is a hub for Leadership in Energy and Environmental Design and energy extraction."
29,Cincinnati,Cincinnati,"Cincinnati ( SIN-sin-NAT-ee) is a major city in the U.S. state of Ohio and the government seat of Hamilton County. Settled in 1788, the city is located at the northern side of the confluence of the Licking and Ohio rivers, the latter of which marks the state line with Kentucky. The city is the economic and cultural hub of the Cincinnati metropolitan area, the fastest growing economic power in the Midwestern United States based on increase of economic output, which had a population of 2,190,209 as of the 2018 census estimates. This makes it Ohio's largest metropolitan area and the nation's 29th-largest. With a city population estimated at 303,940, Cincinnati is the third-largest city in Ohio and 64th in the United States. Cincinnati is within a day's drive of 49.70% of the United States populace, ranking it as fourth in the list of metro areas with the largest population base within one day's drive time.In the 19th century, Cincinnati was an American boomtown in the middle of the country. Throughout much of the 19th century, it was listed among the top 10 U.S. cities by population, surpassed only by New Orleans and the older, established settlements of the United States eastern seaboard, as well as being the sixth-biggest city for a period spanning 1840 until 1860. Cincinnati was the first city founded after the American Revolution, as well as the first major inland city in the country.
Cincinnati developed with fewer immigrants and less influence from Europe than East Coast cities in the same period. However, it received a significant number of German-speaking immigrants, who founded many of the city's cultural institutions.  By the end of the 19th century, with the shift from steamboats to railroads drawing off freight shipping, trade patterns had altered and Cincinnati's growth slowed considerably. The city was surpassed in population by other inland cities, particularly Chicago, which developed based on strong commodity exploitation, economics, and the railroads, and St. Louis, which for decades after the Civil War served as the gateway to westward migration.
Cincinnati is home to three major sports teams: the Cincinnati Reds of Major League Baseball; the Cincinnati Bengals of the National Football League; and FC Cincinnati of Major League Soccer.  The city's largest institution of higher education, the University of Cincinnati, was founded in 1819 as a municipal college and is now ranked as one of the 50 largest in the United States. Cincinnati is home to historic architecture with many structures in the urban core having remained intact for 200 years. In the late 1800s, Cincinnati was commonly referred to as the ""Paris of America"", due mainly to such ambitious architectural projects as the Music Hall, Cincinnatian Hotel, and Shillito Department Store. Cincinnati is the birthplace of William Howard Taft, the 27th President of the United States."
30,Austin,Austin,"Austin (US: , UK: ) is the capital city of the U.S. state of Texas, as well as the seat and largest city of Travis County, with portions extending into Hays and Williamson counties. Incorporated on December 27, 1839, it is the 11th-most populous city in the United States, the fourth-most-populous city in Texas, and the second-most-populous state capital city (after Phoenix, Arizona). It was also the fastest growing large city in the United States in 2015 and 2016. It is the southernmost state capital in the contiguous United States.
As of the U.S. Census Bureau's July 1, 2019, estimate, Austin had a population of 978,908, up from 790,491 at the 2010 census. The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area, which had an estimated population of 2,227,083 as of July 1, 2019, nearly an 80% increase from the year 2000. Located in Central Texas within the greater Texas Hill Country, it is home to numerous lakes, rivers, and waterways, including Lady Bird Lake and Lake Travis on the Colorado River, Barton Springs, McKinney Falls, and Lake Walter E. Long.
Residents of Austin are known as Austinites. They include a diverse mix of government employees, college students, musicians, high-tech workers, and blue-collar workers. The city's official slogan promotes Austin as ""The Live Music Capital of the World"", a reference to the city's many musicians and live music venues, as well as the long-running PBS TV concert series Austin City Limits. The city also adopted ""Silicon Hills"" as a nickname in the 1990s due to a rapid influx of technology and development companies. In recent years, some Austinites have adopted the unofficial slogan ""Keep Austin Weird"", which refers to the desire to protect small, unique, and local businesses from being overrun by large corporations. Since the late 19th century, Austin has also been known as the ""City of the Violet Crown"", because of the colorful glow of light across the hills just after sunset.In 1987 Austin originated and remains the site for South by Southwest (stylized as SXSW and colloquially referred to as South By), an annual conglomeration of parallel film, interactive media, and music festivals and conferences that take place in mid-March.
Emerging from a strong economic focus on government and education, since the 1990s Austin has become a center for technology and business. A number of Fortune 500 companies have headquarters or regional offices in Austin, including 3M, Amazon, Apple, Google, IBM, Intel, Oracle, Texas Instruments, and Whole Foods Market. Dell's worldwide headquarters is located in the nearby suburb of Round Rock.  With regard to education, Austin is the home of the University of Texas at Austin, which over 50,000 students attend."
31,Kansas City,Kansas City,"The Kansas City metropolitan area is a bi-state metropolitan area anchored by Kansas City, Missouri. Its 14 counties straddles the border between the U.S. states of Missouri (9 counties) and Kansas (5 counties). It is the second-largest metropolitan area centered in Missouri (after Greater St. Louis) and is the largest metropolitan area in Kansas, though Wichita is the largest metropolitan area centered in Kansas. Alongside Kansas City, these are other cities and suburbs with populations above 100,000: Overland Park, Kansas (the largest); Kansas City, Kansas; Olathe, Kansas; and Independence, Missouri. The Mid-America Regional Council (MARC) serves as the Council of Governments and the Metropolitan Planning Organization for the area."
32,Indianapolis,Indianapolis,"Indianapolis (), colloquially known as Indy, is the state capital and most-populous city of the U.S. state of Indiana and the seat of Marion County. According to 2019 estimates from the U.S. Census Bureau, the consolidated population of Indianapolis and Marion County was 886,220. The ""balance"" population, which excludes semi-autonomous municipalities in Marion County, was 876,384. It is the 17th most populous city in the U.S., the third-most populous city in the Midwest, after Chicago, Illinois and Columbus, Ohio, and the fourth-most populous state capital after Phoenix, Arizona, Austin, Texas, and Columbus. The Indianapolis metropolitan area is the 33rd most populous metropolitan statistical area in the U.S., with 2,048,703 residents. Its combined statistical area ranks 28th, with a population of 2,431,361. Indianapolis covers 368 square miles (950 km2), making it the 16th largest city by land area in the U.S.
Indigenous peoples inhabited the area dating to as early as 10000 BC. In 1818, the Delaware relinquished their tribal lands in the Treaty of St. Mary's. In 1821, Indianapolis was founded as a planned city for the new seat of Indiana's state government. The city was platted by Alexander Ralston and Elias Pym Fordham on a 1-square-mile (2.6 km2) grid next to the White River. Completion of the National and Michigan roads and arrival of rail later solidified the city's position as a manufacturing and transportation hub. Two of the city's nicknames reflect its historical ties to transportation—the ""Crossroads of America"" and ""Railroad City"". Since the 1970 city-county consolidation, known as Unigov, local government administration operates under the direction of an elected 25-member city-county council headed by the mayor.
Indianapolis anchors the 29th largest economic region in the U.S., based primarily on the sectors of finance and insurance, manufacturing, professional and business services, education and health care, government, and wholesale trade. The city has notable niche markets in amateur sports and auto racing. The city is home to three Fortune 500 companies, two major league sports clubs, four university campuses, and several museums, including the world's largest children's museum. However, the city is perhaps best known for annually hosting the world's largest single-day sporting event, the Indianapolis 500. Among the city's historic sites and districts, Indianapolis is home to the largest collection of monuments dedicated to veterans and war casualties in the U.S. outside of Washington, D.C."
33,Columbus,"Columbus, Ohaio","Columbus is the state capital and the most populous city in the U.S. state of Ohio. With a population estimated at 898,553 in 2019, it is the 14th-most populous city in the U.S., the second-most populous city in the Midwest after Chicago, and the third-most populous state capital. Columbus is the county seat of Franklin County; it also extends into Delaware and Fairfield counties. It is the core city of the Columbus, OH Metropolitan Statistical Area, which encompasses ten counties. With a 2019 estimated population of 2,122,271, it is the largest metropolitan area entirely in Ohio.Columbus originated as numerous Native American settlements on the banks of the Scioto River. Franklinton, now a city neighborhood, was the first white settlement, laid out in 1797. The city was founded in 1812, at the confluence of the Scioto and Olentangy rivers, and laid out to become the state capital. It was named for explorer Christopher Columbus. The city assumed the function of state capital in 1816 and county seat in 1824. Amid steady years of growth and industrialization, the city has experienced numerous floods and recessions. Beginning in the 1950s, Columbus began to experience significant growth; it became the largest city in Ohio in land and population by the early 1990s. The 1990s and 2000s saw redevelopment in numerous city neighborhoods, including downtown.
The city has a diverse economy based on education, government, insurance, banking, defense, aviation, food, clothes, logistics, steel, energy, medical research, health care, hospitality, retail, and technology. The metropolitan area is home to the Battelle Memorial Institute, the world's largest private research and development foundation; Chemical Abstracts Service, the world's largest clearinghouse of chemical information and Ohio State University, one of the largest universities in the United States. As of 2018, the city has the headquarters of four corporations in the U.S. Fortune 500: American Electric Power, L Brands, Nationwide, and Big Lots."
34,Virginia Beach,Virginia Beach,"Virginia Beach is an independent city located on the southeastern coast of the Commonwealth of Virginia in the United States. As of the 2010 census, the population was 437,994; in 2019, it was estimated to be 449,974. Although mostly suburban in character, it is the most populous city in Virginia and the 44th most populous city in the nation. Located on the Atlantic Ocean at the mouth of the Chesapeake Bay, Virginia Beach is included in the Hampton Roads metropolitan area. This area, known as ""America's First Region"", also includes the independent cities of Chesapeake, Hampton, Newport News, Norfolk, Portsmouth, and Suffolk, as well as other smaller cities, counties, and towns of Hampton Roads.
Virginia Beach is a resort city with miles of beaches and hundreds of hotels, motels, and restaurants along its oceanfront. Every year the city hosts the East Coast Surfing Championships as well as the North American Sand Soccer Championship, a beach soccer tournament. It is also home to several state parks, several long-protected beach areas, military bases, a number of large corporations, Virginia Wesleyan University and Regent University, the international headquarters and site of the television broadcast studios for Pat Robertson's Christian Broadcasting Network (CBN), Edgar Cayce's Association for Research and Enlightenment, and numerous historic sites. Near the point where the Chesapeake Bay and the Atlantic Ocean meet, Cape Henry was the site of the first landing of the English colonists, who eventually settled in Jamestown, on April 26, 1607.
The city is listed in the Guinness Book of Records as having the longest pleasure beach in the world. It is located at the southern end of the Chesapeake Bay Bridge-Tunnel, used to be known as the world's longest bridge-tunnel complex until 2018, when Hong Kong-Zhuhai-Macau Bridge opened to traffic in the Cantonese Greater Bay Area.

"
